site_id,latitude,longitude,start_date,end_date,status,timestamp,pm10,pm2_5,aqi
9576701322747/A1,-37.8187641,144.9472974,2021-05-03,2024-05-03,inactive,2026-04-12T18:00,6.0,4.1,21
9576701322747/A1,-37.8188041,144.9503704,2021-05-03,2024-05-03,inactive,2026-04-12T18:00,6.0,4.1,21
1381684599860/0A,-37.796752,144.9725314,2021-04-30,2023-04-30,inactive,2026-04-12T18:00,4.6,3.4,20
1.38168E+12,-37.796752,144.9725314,2021-04-30,2023-04-30,inactive,2026-04-12T18:00,4.6,3.4,20
9.99555E+12,-37.7901621,144.9262442,2021-05-03,,active,2026-04-12T18:00,4.6,3.4,20
1.34451E+12,-37.8199591,144.9610228,2021-04-30,2022-04-30,inactive,2026-04-12T18:00,6.0,4.1,21
58098/8057073793180/A,-37.8112537,144.961519,2021-04-08,2024-04-08,inactive,2026-04-12T18:00,6.0,4.1,21
8.20134E+12,-37.8127153,144.97067,2021-04-20,2024-04-20,inactive,2026-04-12T18:00,6.0,4.1,21
7148683197192/V,-37.7916003,144.9288874,2021-05-03,2025-05-03,inactive,2026-04-12T18:00,4.6,3.4,20
7148683197192/A2,-37.7916003,144.9288874,2021-05-03,2025-05-03,inactive,2026-04-12T18:00,4.6,3.4,20
4.37197E+12,-37.804515,144.9461174,2021-05-10,2023-03-17,inactive,2026-04-12T18:00,6.0,4.1,21
2.04442E+12,-37.8395111,144.9777343,2021-03-05,2024-03-05,inactive,2026-04-12T18:00,6.0,4.1,21
BS-L 44806/3564167915228,-37.7947793,144.9731143,2021-04-29,2023-04-29,inactive,2026-04-12T18:00,4.6,3.4,20
3564167915228/A,-37.7947793,144.9731143,2021-04-29,2023-04-29,inactive,2026-04-12T18:00,4.6,3.4,20
9.30249E+12,-37.7968874,144.9573816,2020-12-15,2023-12-15,inactive,2026-04-12T18:00,4.6,3.4,20
1.82728E+12,-37.798425,144.9268429,2021-04-26,2024-04-26,inactive,2026-04-12T18:00,4.6,3.4,20
1553/6279027219499,-37.8115448,144.9503697,2021-04-21,2024-04-21,inactive,2026-04-12T18:00,6.0,4.1,21
9.65912E+12,-37.8168354,144.9626374,2021-04-26,2024-04-26,inactive,2026-04-12T18:00,6.0,4.1,21
8474425545747/1/A1,-37.8118338,144.9595467,2021-04-19,2024-04-19,inactive,2026-04-12T18:00,6.0,4.1,21
4.01216E+12,-37.8115448,144.9503697,2021-04-14,2024-04-14,inactive,2026-04-12T18:00,6.0,4.1,21
1917610860593/A,-37.8107647,144.969936,2021-04-07,2024-04-07,inactive,2026-04-12T18:00,6.0,4.1,21
4.85559E+12,-37.8121788,144.9700065,2021-04-09,2024-04-09,inactive,2026-04-12T18:00,6.0,4.1,21
1932252772245/A1,-37.8128897,144.9424877,2021-04-15,2022-06-05,inactive,2026-04-12T18:00,6.0,4.1,21
9.56793E+12,-37.8141141,144.9643941,2021-04-20,2024-04-20,inactive,2026-04-12T18:00,6.0,4.1,21
4.78303E+12,-37.8125147,144.9598421,2021-05-03,2023-04-15,inactive,2026-04-12T18:00,6.0,4.1,21
8.49313E+12,-37.8028214,144.9583742,2021-04-14,2024-04-14,inactive,2026-04-12T18:00,6.0,4.1,21
5.92748E+12,-37.8099897,144.9614983,2021-04-20,2023-04-20,inactive,2026-04-12T18:00,6.0,4.1,21
2.41266E+12,-37.8006511,144.9657621,2021-04-07,2024-04-07,inactive,2026-04-12T18:00,6.0,4.1,21
9030626893118/A,-37.8265377,144.9051275,2021-04-20,2024-04-20,inactive,2026-04-12T18:00,6.0,4.1,21
9.03063E+12,-37.8265377,144.9051275,2021-04-20,2024-04-20,inactive,2026-04-12T18:00,6.0,4.1,21
5.30975E+12,-37.8034613,144.9576082,2021-03-11,2022-07-26,inactive,2026-04-12T18:00,6.0,4.1,21
BS-U 1330/6567778951886,-37.8099193,144.9913217,2021-03-12,2024-03-12,inactive,2026-04-12T18:00,6.0,4.1,21
3148259086492/A2,-37.8113876,144.9730136,2021-04-20,2022-09-05,inactive,2026-04-12T18:00,6.0,4.1,21
3148259086492/A,-37.8113876,144.9730136,2021-04-20,2022-09-05,inactive,2026-04-12T18:00,6.0,4.1,21
5.98596E+12,-37.8225861,144.962141,2021-04-16,2024-04-16,inactive,2026-04-12T18:00,6.0,4.1,21
29165/9380822138846,-37.8048419,144.943683,2021-04-07,2023-02-21,inactive,2026-04-12T18:00,6.0,4.1,21
9380822138846/A,-37.8048419,144.943683,2021-04-07,2023-02-21,inactive,2026-04-12T18:00,6.0,4.1,21
4.49014E+12,-37.8257755,144.9626864,2021-04-09,2020-11-24,inactive,2026-04-12T18:00,6.0,4.1,21
4.49014E+12,-37.8258332,144.9636258,2021-04-09,2020-11-24,inactive,2026-04-12T18:00,6.0,4.1,21
BS-U1112/9215666005036,-37.8041747,144.9430209,2021-04-16,2023-04-16,inactive,2026-04-12T18:00,6.0,4.1,21
1807567423059/A4,-37.8034613,144.9576082,2021-03-24,2023-04-09,inactive,2026-04-12T18:00,6.0,4.1,21
1807567423059/A,-37.8034613,144.9576082,2021-03-24,2023-04-09,inactive,2026-04-12T18:00,6.0,4.1,21
4.59111E+12,-37.7981597,144.963678,2023-10-20,2026-10-20,active,2026-04-12T18:00,4.6,3.4,20
8498528294324/A,-37.8077731,144.9609675,2023-10-20,2026-10-20,active,2026-04-12T18:00,6.0,4.1,21
2.90375E+12,-37.815781,144.9620958,2023-08-08,2026-08-08,active,2026-04-12T18:00,6.0,4.1,21
4827973164193/VA,-37.8253279,144.9493432,2023-08-17,2026-08-17,active,2026-04-12T18:00,6.0,4.1,21
8.32836E+12,-37.8104842,144.9868088,2023-10-17,2025-10-17,inactive,2026-04-12T18:00,6.0,4.1,21
8328356601427/A2,-37.8104842,144.9868088,2023-10-17,2025-10-17,inactive,2026-04-12T18:00,6.0,4.1,21
4.87783E+12,-37.8191608,144.9584734,2023-10-13,2026-10-13,active,2026-04-12T18:00,6.0,4.1,21
3.96325E+12,-37.8104785,144.9667621,2023-10-17,2026-10-17,active,2026-04-12T18:00,6.0,4.1,21
BSU28992/7342845300242,-37.7971895,144.9517997,2023-10-12,2026-10-12,active,2026-04-12T18:00,4.6,3.4,20
