timestamp,latitude,longitude,pm10,pm2_5,aqi,source
2026-04-12T18:00,-37.8253279,144.9493432,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8104842,144.9868088,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8191608,144.9584734,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8104785,144.9667621,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.7971895,144.9517997,4.6,3.4,20,Open-Meteo
2026-04-12T18:00,-37.818482,144.9637108,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8136167,144.9891925,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8140046,144.9699179,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8231713,144.9639481,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.815334,144.9601572,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.7901075,144.9382846,4.6,3.4,20,Open-Meteo
2026-04-12T18:00,-37.8140943,144.9689782,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.7934196,144.9744606,4.6,3.4,20,Open-Meteo
2026-04-12T18:00,-37.801822,144.9685587,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8124903,144.9648912,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8201768,144.966393,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.809762,144.9624727,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8145283,144.9705094,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.7962099,144.9529177,4.6,3.4,20,Open-Meteo
2026-04-12T18:00,-37.8078912,144.9454145,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.7931056,144.9177156,4.6,3.4,20,Open-Meteo
2026-04-12T18:00,-37.811721,144.9639722,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.829122,144.9849134,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8175062,144.9657889,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.7967456,144.9377112,4.6,3.4,20,Open-Meteo
2026-04-12T18:00,-37.8105134,144.9617363,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8109402,144.9619384,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.801401,144.9627225,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8165168,144.9565571,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8245378,144.9422147,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8146346,144.9625779,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.7975091,144.9677634,4.6,3.4,20,Open-Meteo
2026-04-12T18:00,-37.8005947,144.9542036,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8124325,144.9547704,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8126873,144.9677479,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8454512,144.978986,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.7965126,144.9319336,4.6,3.4,20,Open-Meteo
2026-04-12T18:00,-37.8178802,144.9633581,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8176048,144.9621837,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8131502,144.9567804,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8303045,144.9666766,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8087981,144.966276,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8309834,144.9404751,6.0,4.1,21,Open-Meteo
2026-04-12T18:00,-37.8121307,144.9584916,6.0,4.1,21,Open-Meteo
